Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
San Antonio Spurs*,35.2,82.7,.425,4.3,12.6,.343,30.8,70.1,.440,15.6,21.0,.739,12.0,29.4,41.4,20.3,7.9,5.2,14.4,23.1,90.2
New York Knicks*,33.1,78.0,.424,4.9,14.6,.338,28.1,63.4,.444,19.6,26.3,.747,11.3,29.8,41.1,19.6,7.4,4.3,14.2,21.9,90.7
Portland Trail Blazers*,34.5,80.0,.431,4.8,14.6,.330,29.6,65.4,.453,17.3,24.2,.716,11.9,27.1,39.0,20.8,8.0,4.3,14.5,22.8,91.0
Miami Heat*,33.9,80.4,.422,5.0,13.8,.361,29.0,66.6,.434,18.4,24.7,.748,11.9,28.5,40.4,19.3,7.6,4.4,14.0,21.9,91.3
Utah Jazz*,33.9,76.1,.446,4.7,13.4,.354,29.2,62.7,.465,19.5,26.1,.746,10.8,27.3,38.1,19.8,7.2,5.0,15.5,24.7,92.0
Los Angeles Lakers*,34.6,83.2,.416,4.5,13.9,.326,30.1,69.3,.434,18.5,24.9,.742,12.3,30.9,43.1,19.5,7.6,4.2,14.6,25.6,92.3
Philadelphia 76ers*,35.0,80.4,.435,5.1,14.3,.356,29.9,66.1,.452,18.4,24.4,.755,13.0,30.5,43.5,22.3,7.7,6.5,17.6,24.1,93.4
Phoenix Suns*,34.5,81.3,.424,4.9,14.0,.352,29.5,67.3,.439,19.9,26.9,.739,13.1,30.1,43.1,20.7,8.9,5.2,17.3,21.9,93.7
Charlotte Hornets*,37.2,83.1,.448,5.0,13.2,.378,32.2,69.8,.461,16.4,22.0,.745,11.8,31.1,42.9,23.2,7.4,5.1,15.8,25.3,95.8
Minnesota Timberwolves*,35.7,80.2,.445,4.6,13.0,.356,31.0,67.2,.462,20.0,26.6,.752,11.2,29.8,40.9,21.2,7.2,4.2,15.0,20.5,96.0
Indiana Pacers*,38.0,85.1,.446,4.0,12.3,.327,34.0,72.9,.466,16.8,22.2,.755,12.7,31.0,43.7,21.2,7.4,3.9,13.7,23.3,96.7
Toronto Raptors*,36.6,80.7,.454,4.2,12.5,.339,32.4,68.2,.475,19.9,26.0,.764,11.7,31.1,42.8,21.8,6.8,5.3,15.2,22.9,97.3
Seattle SuperSonics*,38.2,84.6,.451,5.4,15.8,.340,32.8,68.9,.477,16.4,21.9,.748,13.2,31.8,45.1,23.6,7.2,5.3,15.3,22.4,98.1
Milwaukee Bucks*,37.0,81.0,.457,6.5,16.5,.391,30.5,64.5,.473,20.5,27.3,.752,12.6,28.9,41.5,24.2,7.8,4.1,15.9,22.8,101.0
Sacramento Kings*,39.9,88.3,.452,4.8,13.7,.353,35.0,74.6,.470,17.5,23.3,.751,13.9,33.7,47.6,23.8,9.2,4.9,17.5,23.7,102.0
Detroit Pistons*,38.0,81.8,.465,5.6,15.0,.371,32.5,66.7,.486,20.4,27.3,.746,11.9,30.5,42.4,23.1,8.0,4.8,17.1,27.1,102.0


